id,external_id,provider,name,image_url
4324,beb0b9938806b71815eeb622fcdf4933f03c7a39,nolimitcity,Road Rage,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/beb0b9938806b71815eeb622fcdf4933f03c7a39/public
4328,ee53f9bd211cd06f43375a55eb203be60f6718a1,bgaming,Maneki 88 Gold,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/ee53f9bd211cd06f43375a55eb203be60f6718a1/public
7238,e450fdbe0954335f96b250c38ffc8ca0e8007470,spinomenal,Kitsune's Scrolls - Sacred Flames,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/e450fdbe0954335f96b250c38ffc8ca0e8007470/public
7239,15a6221e9346e5aa1684f5e7b575020f67bf78ed,spinomenal,MMA Champions,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/15a6221e9346e5aa1684f5e7b575020f67bf78ed/public
4329,656f0bc3ed5070f84408688c19727de71d088529,redrake,Vikings Journey,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/656f0bc3ed5070f84408688c19727de71d088529/public
4331,11c40eb85287578758ca29ff932408d69e5995b3,threeoaks,Aztec Fire,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/11c40eb85287578758ca29ff932408d69e5995b3/public
7248,1deb5092e98cb5fc562fb44ea47a46831247c947,boominggames,Megahops Megaways,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/1deb5092e98cb5fc562fb44ea47a46831247c947/public
7251,409845e1f20cde7aa790750e31d77960b8c34fe3,boominggames,Howling Wolves,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/409845e1f20cde7aa790750e31d77960b8c34fe3/public
7252,22eb3edbb9f9f2292d265f941c136c1377dc7941,spinomenal,1 Reel Demi Gods III,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/22eb3edbb9f9f2292d265f941c136c1377dc7941/public
7253,8b1623e97d89c63dbf84d2b7e7ace6b96a0ff1bf,pragmaticplay,Down the Rails,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/8b1623e97d89c63dbf84d2b7e7ace6b96a0ff1bf/public
4346,8b84d38bf55217f38c11cedd50438d8c3ad311eb,relaxgamingslots,Dead Riders Trail,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/8b84d38bf55217f38c11cedd50438d8c3ad311eb/public
7255,1954a4099ee35046caa9768504cf89fd0b117d0f,spinomenal,1 Reel Buffalo,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/1954a4099ee35046caa9768504cf89fd0b117d0f/public
7256,881510899151ce2e2e2d63b7842d4096beb2bb6e,spinomenal,Hawaiian Bliss,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/881510899151ce2e2e2d63b7842d4096beb2bb6e/public
4354,a1edca934e31872779309d4aa2d583cb6c8e3ea7,gameart,Wild Wild Fruit,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/a1edca934e31872779309d4aa2d583cb6c8e3ea7/public
7271,4545df2dea3edc399b266103e32f8cba5604f23a,pragmaticplay,Octobeer Fortunes,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/4545df2dea3edc399b266103e32f8cba5604f23a/public
7273,75440cf27ca6fb69d99eff604355ee29523292be,pragmaticplay,Fire Hot 100,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/75440cf27ca6fb69d99eff604355ee29523292be/public
7275,2f8879d921cb0bca56ab9b7c48c967ff0b52fbe3,pragmaticplay,Fire Hot 40,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/2f8879d921cb0bca56ab9b7c48c967ff0b52fbe3/public
7277,122ceaa096963aa5b1a073e735f336dcb2cca9ca,pragmaticplay,Fire Hot 20,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/122ceaa096963aa5b1a073e735f336dcb2cca9ca/public
7279,51c59667321210a91b5e5b9a7cb708132c7eb1f6,pragmaticplay,Fire Hot 5,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/51c59667321210a91b5e5b9a7cb708132c7eb1f6/public
4365,b0b245f5009a2dfe5dcfce1ae49f139432860cfa,bgaming,Forty Fruity Million,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/b0b245f5009a2dfe5dcfce1ae49f139432860cfa/public
7283,4e02f2c56d721213f9348fe843edf60775b8b20a,spinomenal,Book Of Panther - Wild Dawn,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/4e02f2c56d721213f9348fe843edf60775b8b20a/public
7286,240e81b7edfbc5fdf9d3f167cd7b9c024cc7bc1d,spinomenal,1 Reel Demi Gods IV,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/240e81b7edfbc5fdf9d3f167cd7b9c024cc7bc1d/public
7287,1aa3cbf45ad0cb239c8444c29dfcd112805d76d2,spinomenal,Book Of Aphrodite,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/1aa3cbf45ad0cb239c8444c29dfcd112805d76d2/public
7288,e992e2482798185d021b1d04116a96904be4bc2a,boominggames,The Wild Wings of Phoenix,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/e992e2482798185d021b1d04116a96904be4bc2a/public
4376,ac437469dda9d4e0a82059d405540eec85d111d2,bgaming,Beer Bonanza,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/ac437469dda9d4e0a82059d405540eec85d111d2/public
7289,8336b65e7cc7675c8d590d860385f72ab66d3f9c,pragmaticplay,Happy Hooves,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/8336b65e7cc7675c8d590d860385f72ab66d3f9c/public
4381,aacef32128f55b73e8c2907a17464ad7d203b29e,tripleprofitsgames,Raging Bull,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/aacef32128f55b73e8c2907a17464ad7d203b29e/public
4385,064df1d6e3127bc05bd65d53e976290f1731723c,belatragames,Ancient Temple Gems,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/064df1d6e3127bc05bd65d53e976290f1731723c/public
7291,e77f3e72cb1318aad696f0a76ffe24f636923434,pragmaticplay,Striking Hot 5,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/e77f3e72cb1318aad696f0a76ffe24f636923434/public
7293,6f1fb8e4e7f5513390cbb94659ba98eee90614e5,pragmaticplay,Book of Golden Sands,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/6f1fb8e4e7f5513390cbb94659ba98eee90614e5/public
4388,6245aa04160a5585c161aa0ae8d9dc67e39c4080,nolimitcity,The Border,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/6245aa04160a5585c161aa0ae8d9dc67e39c4080/public
7307,4b9c86e02684d14eacab4d623a9d65d823c635a5,spinomenal,Fruits - Chase'N'Win,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/4b9c86e02684d14eacab4d623a9d65d823c635a5/public
7308,1259c5a86382fced5d40258bd7c4d16141b910d1,spinomenal,Beer O'clock,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/1259c5a86382fced5d40258bd7c4d16141b910d1/public
7311,f269148f55e6fe806cf4603ba103ec655fd49a25,pragmaticplay,Crown of Fire,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/f269148f55e6fe806cf4603ba103ec655fd49a25/public
4411,c4d48265759659455223b3244993d6039921fb1e,gameart,Wild Marmalade,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/c4d48265759659455223b3244993d6039921fb1e/public
7315,f6c87e97b1c1726aeb658af664a667536ff1cabd,spinomenal,Egyptian Rebirth II - Frozen Flames,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/f6c87e97b1c1726aeb658af664a667536ff1cabd/public
4415,a01877d807cf1331894f13d3a053bfe9096f5a28,threeoaks,Big Heist,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/a01877d807cf1331894f13d3a053bfe9096f5a28/public
7319,2b15dae86e0dd73e5d90ab7e8c8fedd60cb17d9c,kagaming,Oktoberfest,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/2b15dae86e0dd73e5d90ab7e8c8fedd60cb17d9c/public
7329,53d88f2cd19a8935e539759d58fb98e211f0e043,pragmaticplay,Aztec Blaze,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/53d88f2cd19a8935e539759d58fb98e211f0e043/public
7332,1df9aae317f7bc57352485d107c01246148f4d9a,boominggames,Crack the Bank Hold and Win,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/1df9aae317f7bc57352485d107c01246148f4d9a/public
4428,66570594c8e43794b30d068ecc2bfd8faa0bb07e,relaxgamingslots,Money Train 3,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/66570594c8e43794b30d068ecc2bfd8faa0bb07e/public
4430,f16b22e140afe22e3783d28d38dae72fdc138152,printstudios,Out Of The Ice,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/f16b22e140afe22e3783d28d38dae72fdc138152/public
7338,ab0e2d1e3805b29e4f5b29de1dee9ec683e498a0,spinomenal,Book of Lucky Jack - The Lost Pearl,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/ab0e2d1e3805b29e4f5b29de1dee9ec683e498a0/public
4441,bd4f05b7e78c4de4a6eacf197da011c1,quickspin,Slugger Time,https://imagedelivery.net/1nvGfW1exHCjskQD2_2iHA/game/bd4f05b7e78c4de4a6eacf197da011c1/public
